,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM0,3.52104,3.02461,2.01612,0.866728,0.24768099999999998
CC11CM1,3.53484,2.95072,2.18432,0.83886,0.217677
CC11CM10,3.51104,3.05156,2.18018,0.878181,0.245779
CC11CM11,3.44639,2.9348799999999997,2.17424,0.900507,0.23703400000000002
CC11CM12,3.5725300000000004,3.0232799999999997,2.22683,0.908349,0.24866799999999997
CC11CM13,3.5772,3.07019,2.1775700000000002,0.862057,0.228992
CC11CM14,3.42242,2.9208,2.1570400000000003,0.836132,0.229922
CC11CM15,3.4279300000000004,2.96055,2.08905,0.8679879999999999,0.20522800000000002
CC11CM16,3.3029800000000002,2.79358,2.04162,0.830277,0.213024
CC11CM17,3.52966,3.00335,2.22939,0.845216,0.22694099999999998
CC11CM18,3.45961,3.01051,2.10699,0.8575799999999999,0.210521
CC11CM19,3.5145,3.03939,2.26111,0.879448,0.251267
CC11CM2,3.3631699999999998,2.86013,2.02162,0.869733,0.243896
CC11CM20,3.3718800000000004,3.00156,2.1370400000000003,0.871919,0.22631700000000002
CC11CM21,3.4005199999999998,2.9502099999999998,2.09863,0.8483149999999999,0.224185
CC11CM22,3.5612800000000004,3.09218,2.24034,0.8477450000000001,0.223018
CC11CM23,3.6257800000000002,3.15347,2.31397,0.9020030000000001,0.261133
CC11CM24,3.48187,2.9121,2.0727900000000004,0.836074,0.23585
CC11CM25,3.3531400000000002,2.96433,2.13947,0.849799,0.219496
CC11CM26,3.5190699999999997,3.02047,2.20076,0.89654,0.22764099999999998
CC11CM27,3.5419099999999997,3.05586,2.1913099999999996,0.894135,0.24475500000000003
CC11CM28,3.50145,2.9889,2.1822,0.886843,0.22799
CC11CM29,3.32484,2.86248,2.11765,0.838894,0.23091799999999998
CC11CM3,3.51643,3.00732,2.20913,0.8642559999999999,0.23424299999999998
CC11CM30,3.5554699999999997,3.08853,2.21045,0.851249,0.21203400000000003
CC11CM31,3.59116,3.07226,2.12716,0.880649,0.238683
CC11CM32,3.45729,2.95548,2.1093,0.8807940000000001,0.21051599999999998
CC11CM33,3.30019,2.8591900000000003,2.05785,0.8735360000000001,0.224109
CC11CM34,3.62049,3.09135,2.23995,0.901659,0.24991300000000002
CC11CM35,3.66815,3.09228,2.23962,0.8460989999999999,0.254076
CC11CM36,3.2420400000000003,2.8737,2.03715,0.816148,0.230751
CC11CM37,3.58954,3.02449,2.25641,0.8779100000000001,0.24042399999999997
CC11CM38,3.28134,2.88726,2.02956,0.84534,0.221317
CC11CM39,3.5024599999999997,3.0878,2.24737,0.855973,0.23035999999999998
CC11CM4,3.4332199999999995,3.05337,2.20913,0.8895129999999999,0.21986399999999998
CC11CM40,3.5076699999999996,3.02617,2.1270700000000002,0.853834,0.24374899999999997
CC11CM41,3.6406400000000003,3.15076,2.21181,0.8685450000000001,0.23583800000000002
CC11CM42,3.5191,3.00298,2.18452,0.8973559999999999,0.2289
CC11CM43,3.6074599999999997,3.12712,2.18152,0.9248049999999999,0.237742
CC11CM44,3.54106,3.06619,2.19066,0.869813,0.24029299999999998
CC11CM45,3.3325199999999997,2.76072,2.01573,0.820794,0.19725299999999998
CC11CM46,3.4417800000000005,2.9710400000000003,2.11665,0.871397,0.20636300000000002
CC11CM47,3.3469900000000004,2.89759,2.00248,0.8388709999999999,0.216042
CC11CM48,3.44958,3.03146,2.1026599999999998,0.8739809999999999,0.22577399999999997
CC11CM49,3.4220699999999997,3.03293,2.15848,0.8951680000000001,0.258785
CC11CM5,3.41338,2.9476299999999998,2.1236099999999998,0.891134,0.24543
