,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM0,5.765636232925953,5.765636232925953,3.1590839067474583,2.504251043437935,0.0
CC11CM1,0.36389642624261165,0.37862055909635894,0.0,0.0,0.0
CC11CM10,7.533648673338883,7.499137213504131,5.743112933677094,3.0207677784770293,0.0
CC11CM11,0.6230341156544883,0.03629324945560126,0.03629324945560126,0.0,0.0
CC11CM12,5.7708942620587385,2.6012274992791533,2.6012274992791533,0.0,0.0
CC11CM13,0.17122215029963878,0.17122215029963878,0.17122215029963878,0.0,0.0
CC11CM14,6.230595840598818,7.159869008633521,11.374558754731426,3.7319780546931485,0.0
CC11CM15,13.859362224039248,11.623058053965657,11.623058053965657,10.569166140005205,0.0
CC11CM16,14.508393285371705,14.447425110758852,14.825427793358534,9.539407580081186,0.0
CC11CM17,0.0,0.0,0.0,0.0,0.0
CC11CM18,10.916215711886545,0.0,0.0,0.0,0.0
CC11CM19,0.0,0.0,0.0,0.0,0.0
CC11CM2,0.743099787685775,0.743099787685775,0.743099787685775,0.0,0.0
CC11CM20,2.653140057332222,2.653140057332222,2.653140057332222,2.478297111025271,0.0
CC11CM21,4.049976712633903,3.952777271530689,3.952777271530689,2.8896583844642896,0.0
CC11CM22,5.560350141782764,5.560350141782764,3.7253934985410755,0.930327868852459,0.0
CC11CM23,0.5856546107181091,0.5562669241587775,0.5562669241587775,0.0,0.0
CC11CM24,0.7989374744585207,0.7989374744585207,0.0,0.0,0.0
CC11CM25,0.0,0.0,0.0,0.0,0.0
CC11CM26,0.0,0.0,0.0,0.0,0.0
CC11CM27,1.9192397095427152,1.8986690802871662,0.12548083845884847,0.0,0.0
CC11CM28,3.4090206026109016,0.4887706490131782,0.03093485120336571,0.0,0.0
CC11CM29,1.1145177328471991,1.1124461385482267,0.010357971494862447,0.0,0.0
CC11CM3,0.0,0.0,0.0,0.0,0.0
CC11CM30,3.4152199132965624,4.021736918160911,1.9091038609488533,0.0,0.0
CC11CM31,11.079385590129426,4.891519559825765,4.891519559825765,3.2116879598174277,0.0
CC11CM32,4.8538759926074855,2.7031418184772233,2.7031418184772233,0.0,0.0
CC11CM33,0.0,0.0,0.0,0.0,0.0
CC11CM34,1.9611081293092771,4.122455720242765,3.8045497708599982,3.2513108459601177,0.0
CC11CM35,2.602937182727861,2.602937182727861,0.06267103971254884,2.5402661430153124,0.0
CC11CM36,8.164772494153366,2.1930004513190826,0.744676486275797,0.0,0.0
CC11CM37,0.14751050759780146,0.1454898157129001,0.02626899450371807,0.0,0.0
CC11CM38,4.649874882060959,6.6045862903556625,5.42519588136358,2.3198096566435575,0.0
CC11CM39,6.13116442765784,6.13116442765784,3.482982102236148,3.482982102236148,0.0
CC11CM4,0.5466693662684754,0.4353107916582304,0.4307408743038026,0.0,0.0
CC11CM40,4.579544293450495,2.7730663124552977,1.448860733626239,1.2416932550246915,0.0
