,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM81SCReeb34a221dca4dc5b0ca403cc9ac9bd3_From_NR041278_1_description_Bacteroides_coprocola_strain_M16_16S_ribosomal_RNA_gene_partial_sequence_organism_Bacteroides_coprocola_DSM_17136_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_470145,1.0,6.0,8.0,6.0,1.0
CC11CM99SCRce2d1fa684f340c68b6f3239c2de2521_From_NR133689_1_description_Aestuariispira_insulae_strain_AH_MY2_16S_ribosomal_RNA_partial_sequence_organism_Aestuariispira_insulae_taxonomy_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Aestuariispira_ncbitaxid_1461337,1.0,1.0,12.0,5.0,7.0
CC11CM7SCR9e29ef94a3604006b11d4566a917e44b_From_NR113408_1_description_Clostridium_propionicum_strain_JCM_1430_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_propionicum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Tyzzerella_ncbitaxid_28446,8.0,3.0,3.0,4.0,11.0
CC11CM11SCR22fac7d980eb496c9258d2c043fb6ea0_From_NR113328_1_description_Parasutterella_secunda_strain_JCM_16078_16S_ribosomal_RNA_gene_partial_sequence_organism_Parasutterella_secunda_taxonomy_Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Sutterellaceae_Parasutterella_ncbitaxid_626947,2.0,14.0,6.0,3.0,1.0
CC11CM34SCR39303fc7db3e46a0be0bc45364d289ff_From_NR042007_1_description_Roseburia_inulinivorans_strain_A2_194_16S_ribosomal_RNA_gene_complete_sequence_organism_Roseburia_inulinivorans_DSM_16841_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_ncbitaxid_622312,1.0,1.0,10.0,3.0,11.0
CC11CM43SCR0ec2aedc04494ff6a4b097655e41b702_From_HM626177_1_1372_description_HM626177_1_1372_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_Blautia_stercoris_organism_Blautia_stercoris_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia_ncbitaxid_871664,5.0,1.0,6.0,1.0,11.0
CC11CM96SCR4906ef0a121445c5955b525f7a111576_From_NR113408_1_description_Clostridium_propionicum_strain_JCM_1430_16S_ribosomal_RNA_gene_partial_sequence_organism_Clostridium_propionicum_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Tyzzerella_ncbitaxid_28446,8.0,3.0,3.0,4.0,11.0
CC11CM48SCR0158eefeaa2d482ba7fed682ad38ef12_From_AY136666_1_1483_description_AY136666_1_1483_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Pseudoflavonifractor_Pseudoflavonifractor_capillosus_organism_Pseudoflavonifractor_capillosus_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Pseudoflavonifractor_ncbitaxid_106588,1.0,1.0,1.0,3.0,11.0
CC11CM30SCRdc281354d04842df88ca00f0c9c97838_From_AB547645_1_1493_description_AB547645_1_1493_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_paurosaccharolyticus_organism_Bacteroides_paurosaccharolyticus_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_732242,5.0,5.0,2.0,7.0,1.0
CC11CM57SCR7b655072dd15474eb5b87989ecc161b5_From_Y18187_1_1550_description_Y18187_1_1550_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Flavonifractor_Flavonifractor_plautii_organism_Flavonifractor_plautii_taxonomy_Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Flavonifractor_ncbitaxid_292800,2.0,1.0,1.0,5.0,13.0
CC11CM70SCRbc2247c3c857406ebe5067a1e19648a2_From_AENT01000008_101_1407_description_AENT01000008_101_1407_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Dialister_Dialister_microaerophilus_UPII_345_E_organism_Dialister_microaerophilus_taxonomy_Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Dialister_ncbitaxid_39948,1.0,1.0,3.0,14.0,11.0
CC11CM53SCR9e20fd4e3d374539af65dba8760704bd_From_KC628751_1_1360_description_KC628751_1_1360_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_Streptococcus_sanguinis_organism_Streptococcus_sanguinis_taxonomy_Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_ncbitaxid_1305,8.0,13.0,5.0,3.0,1.0
CC11CM1SCR6c3863d42cdc4252a89a206df0b7ccb6_From_CP002530_3080993_3082512_description_CP002530_3080993_3082512_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides_salanitronis_DSM_18170_organism_Bacteroides_salanitronis_taxonomy_Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_ncbitaxid_667015,1.0,1.0,8.0,7.0,1.0
