,RDP_10398,RDP_5224,RDP_1017,RDP_92,RDP_12
CC11CM0,6.592461743863614,6.592461743863614,6.774920406696109,6.867741604190203,6.964465441100956
CC11CM1,6.997412759512838,6.996529311541614,7.019246545087394,7.044866536252914,7.028796196966824
CC11CM2,6.951958259926817,6.951958259926817,6.951958259926817,6.996544247187964,6.996544247187964
CC11CM3,6.306567232011899,6.431404548928874,6.629660999442229,6.959117483008655,6.959117483008655
CC11CM4,6.9735776472970255,6.98025916177364,6.990868596881962,7.0063778092731335,7.0063778092731335
CC11CM5,6.900250953828576,6.726521535102933,6.749168587925653,6.749168587925653,7.024544508599759
CC11CM6,6.859375327314241,6.859375327314241,6.90148103148501,6.961811592684918,6.961811592684918
CC11CM7,6.898265276690429,6.891342865383823,6.891342865383823,6.891342865383823,6.96748938975648
CC11CM8,6.665951954702526,6.665951954702526,6.729776426995294,6.824951080394686,6.969503309879677
CC11CM9,6.560427092408374,6.759831432218331,6.764693964381953,6.964787162915091,6.964787162915091
CC11CM10,6.438457946771149,6.440528634361234,6.545890091150856,6.709230800462859,6.9051949897480664
CC11CM11,6.984696346479556,7.025768207113478,7.025768207113478,7.027945802080813,7.051153318816034
CC11CM12,6.707356757424719,6.820818058244425,6.820818058244425,6.981237385179385,6.978003871977589
CC11CM13,6.909648994591886,6.909648994591886,6.909648994591886,6.919922323609865,6.925768933620096
CC11CM14,6.460319823076598,6.421596563603115,6.16871517883724,6.627270020839537,6.851188704121126
CC11CM15,6.0279026982829125,6.181214227309895,6.181214227309895,6.280928045789045,6.878597710547835
CC11CM16,5.967747835629801,5.9714059261065735,5.960147136528066,6.282140389383407,6.923606877210097
CC11CM17,6.856639705129519,6.856639705129519,6.932077403501588,6.9971946349953935,6.9971946349953935
CC11CM18,6.231013248740439,6.995148348572496,6.995148348572496,6.995148348572496,7.011216852231968
CC11CM19,6.995717127430684,6.995717127430684,6.995717127430684,7.052429667519183,6.99709738968051
CC11CM20,6.767418220261453,6.767418220261453,6.767418220261453,6.777908797039869,6.936710919551916
CC11CM21,6.712512403053683,6.718344369519876,6.718344369519876,6.78213150274386,6.955511005811717
CC11CM22,6.622303045247192,6.622303045247192,6.732400443841693,6.899950684255946,7.006164468006408
CC11CM23,6.9580385818342085,6.959801843027768,6.959801843027768,6.993177858477297,6.993177858477297
CC11CM24,6.93610543522681,6.93610543522681,6.992031058438907,6.992031058438907,7.0126890069472845
CC11CM25,6.64082091076169,6.64082091076169,6.944802940575862,6.961016949152541,7.007596487645496
CC11CM26,6.455906890513955,6.684457719641569,6.824616335358945,6.824616335358945,6.921886909053455
