,community,sourceSeq,seqID,organism,ncbi_tax_id,multiplicity
0,CC11CM0,AB036759.1.1480,CC11CM0SCR1e06de32f41c414aaa57f33949f4905c,Pseudoramibacter alactolyticus,113287,9
1,CC11CM0,AB253730.1.1456,CC11CM0SCR3e39a5fc61b6420cac1c2dd465292aec,Bacteroides barnesiae,376804,4656
2,CC11CM0,AB253731.1.1463,CC11CM0SCR3823cad73fba408b8b4a7cda1eb5e493,Bacteroides salanitronis,376805,1579
3,CC11CM0,AB298910.1.1471,CC11CM0SCR6f14135fa1ba41f49b480f6973684fb2,Eubacterium limosum,1736,1066
4,CC11CM0,AB510708.1.1476,CC11CM0SCRc168f76390fb4e7c9f4809f8d0100c39,Bacteroides stercoris,46506,684
5,CC11CM0,AB510709.1.1490,CC11CM0SCRcd7237d670bc46b29f6289e56b4b6c9d,Bacteroides pyogenes,310300,1099
6,CC11CM0,AB547696.1.1280,CC11CM0SCR38d38820115f4fbba6d14b09a6cba6a2,Prevotella nigrescens,28133,5043
7,CC11CM0,AB793710.1.1451,CC11CM0SCR5cedb8a7e1bf473d99e12728f04a173c,Anaerobacterium chartisolvens,1297424,46
8,CC11CM0,AB916502.1.1486,CC11CM0SCR8898bf89e307445282cd2fb3acb183a0,Butyricimonas paravirosa,1472417,27
9,CC11CM0,ABEZ02000021.84162.85652,CC11CM0SCR1cfc4024617f454881035fb1bfd55cbc,Intestinibacter bartlettii,445973,1
10,CC11CM0,ACNN01000021.414.1888,CC11CM0SCR00a5f19edcba4a52affb746001888dcb,Porphyromonas endodontalis,553175,391
11,CC11CM0,ADMB01000110.26493.28035,CC11CM0SCRb15eac580de84cfd8e55224087a7b676,Megamonas funiformis,742816,4
12,CC11CM0,ADMC01000038.27513.29026,CC11CM0SCRe9f5fb9ad3e5407fb686716731557fb8,Odoribacter laneus,742817,125
13,CC11CM0,ADNA01000041.27909.29404,CC11CM0SCR828e2a45138c4a598abd19e72801818c,Atopobium vaginae,525256,175
14,CC11CM0,AFBM01000011.260.1774,CC11CM0SCRda69a360140c4f6da522f9245a9f5db3,Bacteroides clarus,762984,2813
15,CC11CM0,AGXH01000044.3269.4788,CC11CM0SCRec63631bcd1c474083a6d4bc0ba5ce7c,Bacteroides dorei,997875,843
16,CC11CM0,AJ132842.30.1345,CC11CM0SCR5d0910eba67847e79b3cb42c12631ebc,Dorea longicatena,88431,38
17,CC11CM0,AJ566849.1.1455,CC11CM0SCR5ff6206ff4d94c8f86932306fb9b4535,Sutterella stercoricanis,234908,2375
18,CC11CM0,AKCF01000001.5844485.5846004,CC11CM0SCR35529da454f0497fa16e04841e8e1639,Klebsiella oxytoca,570,64
19,CC11CM0,AQOB01000012.1002.2519,CC11CM0SCRabb7b9b009944a9ba1d1db4c868741af,Butyricicoccus pullicaecorum,580596,97
20,CC11CM0,ARMK01000003.40.1327,CC11CM0SCR4220806246c9445f9abbf3606a5a56a1,Fusobacterium russii,1278306,1483
21,CC11CM0,AX553954.109220.110725,CC11CM0SCR1beb97d3e3bb418b9843d9afdc14e7bf,Bifidobacterium longum,1678,242
22,CC11CM0,AY974071.1.1440,CC11CM0SCR49c33904b91a42b28626c772a112d3ff,Alistipes onderdonkii,328813,623
23,CC11CM0,CBXH010000027.2899.4366,CC11CM0SCR4fb0d8fe4a4f42d598229f7496ec6c09,Bacteroides xylanisolvens,702444,2021
24,CC11CM0,CP006018.139472.140984,CC11CM0SCRb70978c24c1a4fab8659357b833938e6,Bifidobacterium indicum,1341694,692
25,CC11CM0,CP007034.620467.622007,CC11CM0SCR1083e70ce28e4961b8298356c0d69000,Barnesiella viscericola,880074,2475
26,CC11CM0,EU541439.1.1500,CC11CM0SCR660eae0fe6f94d0b95e1bff8fc7a6ff5,Flavonifractor plautii,292800,102
27,CC11CM0,EU728750.1.1517,CC11CM0SCRf7daacc404cb4eb9a49ba1de3996a898,Megasphaera elsdenii,907,24
28,CC11CM0,FJ611794.1.1404,CC11CM0SCRf4609d1b137d4abfa11af2713e075214,Ruminococcus faecis,592978,1954
29,CC11CM0,GM884497.1.1501,CC11CM0SCR06770c5a7fe2475f8059ee919d70eeb5,Bacteroides denticanum,266833,755
30,CC11CM0,HQ457026.1.1378,CC11CM0SCRd526be427f7d40d99ca20d6b9ffc434d,Faecalibacterium prausnitzii,853,520
31,CC11CM0,HQ646364.1.1477,CC11CM0SCR5c24420214de48e2bae6693c53d442af,Turicibacter sanguinis,154288,35
32,CC11CM0,JF514884.1.1259,CC11CM0SCRd32581f0a84a430985ca339a20df58ff,Catabacter hongkongensis,270498,10
33,CC11CM0,JGEO01000053.89.1603,CC11CM0SCR295d55115ed64b7b87a6e1d5d0858b11,Bacteroides fragilis,816,1296
34,CC11CM0,JN713210.1.1526,CC11CM0SCRf811279ee40c406e9795ebc76e29a3d0,Dialister invisus,218538,954
35,CC11CM0,JQ346729.1.1360,CC11CM0SCR2ae719dea83c49169b6cb67e532d1fbf,Victivallis vadensis,172900,5
36,CC11CM0,JTBE01000011.462286.463839,CC11CM0SCR7590e26c76214a0091249bb2e74d3ea6,Escherichia coli,562,4050
37,CC11CM0,L09175.1.1517,CC11CM0SCRd38f3e00f04b4a2ebf6626b1899a38fa,Clostridium sporogenes,1509,289
38,CC11CM0,LK028559.1490042.1491555,CC11CM0SCR89ad905da6c34fb087c878aa4d409a2c,Acholeplasma oculi,35623,3
39,CC11CM0,LN624803.1.1410,CC11CM0SCRfc7f700b82e44da39405162a7e5b8b77,Enterobacter mori,539813,5
40,CC11CM0,NR_041627.1,CC11CM0SCR6d4aac78b0d242779e124ddd2ab22394,Paraprevotella xylaniphila YIT 11841,762982,85
41,CC11CM0,NR_043017.1,CC11CM0SCR374d88a64290415ba45a37a3e99e9405,Bacteroides nordii,291645,954
42,CC11CM0,NR_074634.1,CC11CM0SCRaf64d873b07c43e18a82b0be7ef37e3a,Agathobacter rectalis ATCC 33656,515619,21
43,CC11CM0,NR_102880.1,CC11CM0SCR6793c1fe87f940a28c62ca45b275741f,[Clostridium] sticklandii,1511,156
44,CC11CM0,NR_104842.1,CC11CM0SCR0a33595fd49e47acb027d6c82aa45efd,Eubacterium uniforme,39495,3041
45,CC11CM0,NR_104846.1,CC11CM0SCRbb008cff8b87453b9ed228be5d008673,Gemmiger formicilis,745368,2284
46,CC11CM0,NR_113029.1,CC11CM0SCRfc1acb97fe7e4e9aa7ed3305a7b7b39a,Anaerococcus hydrogenalis,33029,2
47,CC11CM0,NR_114385.1,CC11CM0SCR5f7af4e63f104f02a310f226bcb3eba4,Lactobacillus backii,375175,10
48,CC11CM0,NR_116046.1,CC11CM0SCR8b2096c800db4548bed42a6d71bfe922,Pectobacterium betavasculorum,55207,16
49,CC11CM0,NR_117139.2,CC11CM0SCRade8cd02ba724e42b455e0ced33aba32,Anaerostipes hadrus,649756,1269
50,CC11CM0,NR_118219.1,CC11CM0SCRa805e58fa65d440fbb0d08558326dff6,Alistipes senegalensis JC50,1033732,1777
51,CC11CM0,NR_118554.1,CC11CM0SCR00cdec97c058446e83e0ef032e61806d,Intestinimonas butyriciproducens,1297617,5
52,CC11CM0,NR_119286.1,CC11CM0SCR2398a7ab2bf14cd9bf4f493cd92dca7f,[Clostridium] cocleatum,69824,384
53,CC11CM0,NR_119290.1,CC11CM0SCR4b00f7bde5c34317a74ff4bd6e5c594f,Enterococcus sulfureus,1356,4
54,CC11CM0,NR_133762.1,CC11CM0SCR8e7653535a7e4378994c3519fe151150,Hungatella effluvii,1096246,4
55,CC11CM1,AAVP02000029.271.1782,CC11CM1SCR5b79a07990e445a592f08ced1ad285c1,Ruminococcus torques,411460,1118
56,CC11CM1,AAXA02000006.102304.103822,CC11CM1SCR8d124f18ed6148818cf84f9a6f34f0b4,Dorea formicigenerans,411461,854
57,CC11CM1,AB036759.1.1480,CC11CM1SCRf58b3b2140664400b3c899d55ede86f8,Pseudoramibacter alactolyticus,113287,11
58,CC11CM1,AB260026.1.1492,CC11CM1SCR4062644bae3d4216bcf16ab88ffb72ed,Bacteroides coprophilus,387090,516
59,CC11CM1,AB331897.1.1481,CC11CM1SCR04288e2760bd4ffb8fa3066b13c5deb0,Paraprevotella xylaniphila,454155,244
60,CC11CM1,AB370250.1.1494,CC11CM1SCRc11b8be281cd488da7a442735fadfaf6,Parasutterella excrementihominis,487175,837
61,CC11CM1,AB547640.1.1475,CC11CM1SCR501f19dfb7834081b6e3f1b0b8f48b35,Bacteroides faecis,674529,977
62,CC11CM1,AB554233.1.1486,CC11CM1SCRbe243dc5aca64348af1d5316c0a84e41,Alistipes shahii,328814,1564
63,CC11CM1,AB571656.1.1493,CC11CM1SCR928dbf1db8e8440b8adfd25fa2ea5e89,Blautia coccoides,1532,1188
64,CC11CM1,AB588023.1.1491,CC11CM1SCRce2dfcb8e6b54d9c972eaf9493b0d405,Blautia glucerasea,536633,790
65,CC11CM1,AB600998.1.1493,CC11CM1SCR77fe9fd7439b43b3823acbcb5ca0eb73,Blautia producta,33035,2464
66,CC11CM1,AB649276.1.1495,CC11CM1SCR8531e157a7f846c59412ef0ac15411fd,[Clostridium] propionicum,1506577,76
67,CC11CM1,AB661433.1.1495,CC11CM1SCR3084c003a338488db77fae71fb7fca4b,Roseburia faecis,301302,238
68,CC11CM1,AB679299.1.1452,CC11CM1SCR07ac604875d7459982e9274777da91f3,Streptococcus troglodytae,1111760,547
69,CC11CM1,AB793710.1.1451,CC11CM1SCR4f9a94454acc4d7186730a5df93a9be4,Anaerobacterium chartisolvens,1297424,75
70,CC11CM1,AB899729.1.1389,CC11CM1SCR55bcb8a9bc99415ca9a5bbc397db4d1d,Porphyromonas pogonae,867595,92
71,CC11CM1,ACIJ02000018.407302.408819,CC11CM1SCRbcb4404649854427b447e122952e405b,Prevotella tannerae,626522,41
72,CC11CM1,ACIM02000001.564708.566263,CC11CM1SCR23f745206ba646b9be3df81036f070f8,Dialister invisus,592028,1088
73,CC11CM1,ADFU01000009.53.1567,CC11CM1SCR90b22e9914ab477b84f0eea4c946d48d,Veillonella parvula,686660,103
74,CC11CM1,ADLE01000017.1593.3112,CC11CM1SCR286a3835eb8d41018cd7112a8c00c3be,Barnesiella intestinihominis,742726,808
75,CC11CM1,ADMB01000110.26493.28035,CC11CM1SCR2a1e669500df440680af4ca26bd66003,Megamonas funiformis,742816,4
76,CC11CM1,AE017143.1604540.1606076,CC11CM1SCR98a4cf65f59b4fae91a694fc38c965e5,Haemophilus ducreyi,233412,715
77,CC11CM1,AF349724.1.1508,CC11CM1SCR1eb508cb923c4af5a29dfc178d4cf25f,Turicibacter sanguinis,154288,54
78,CC11CM1,AFFW01000002.2581008.2582516,CC11CM1SCRb7315c7295b14b01b77d91bae24a847f,Bacteroides coprosuis,679937,1525
79,CC11CM1,AGEL01000006.617172.618690,CC11CM1SCRb132a9ce42344393935a72439c829758,Stomatobaculum longum,796942,110
80,CC11CM1,AGXS01000026.294285.295795,CC11CM1SCR750e4ccc4ebf4d4bbe9b871f64181740,Bacteroides nordii,997884,569
81,CC11CM1,AGZO01000014.686935.688449,CC11CM1SCR61a590296b3046bd8ebd70847adebf5a,Parabacteroides goldsteinii,999418,1618
82,CC11CM1,AJ006965.1.1456,CC11CM1SCR248d8ba3d6f64ed99aa9e8e9b5651ff2,Fusobacterium naviforme,77917,92
83,CC11CM1,AJ564067.1.1439,CC11CM1SCRf5ff556846194018b52aa074a1e1cb63,Streptococcus devriesei,231233,1130
84,CC11CM1,AQOB01000015.415037.416554,CC11CM1SCRd11244597da343849a9fcf19095775fc,Butyricicoccus pullicaecorum,580596,7
85,CC11CM1,ARCF01000025.3805.5342,CC11CM1SCR8e7d115ead794aa2848219ff41d2e6f4,Streptococcus merionis,1123308,2533
86,CC11CM1,ASSP01000017.327225.328741,CC11CM1SCRf945d0e564784dd9ace5b98dfc04d316,Bacteroides massiliensis,1235788,829
87,CC11CM1,AWWG01000020.296.1831,CC11CM1SCRb994b449140b4eb1a2869ecf5683619c,Coprobacter fastidiosus,1349822,682
88,CC11CM1,AY514996.1.1307,CC11CM1SCR8ddc52435c22471ba0b3eef19077467e,Veillonella rodentium,248315,256
89,CC11CM1,BAJS01000049.3577.5109,CC11CM1SCR7334fcb69f8c425884f35363fbc61dcd,Bacteroides graminisolvens,1121097,636
90,CC11CM1,CP001071.989916.991420,CC11CM1SCR6fc43df71aba439aa0f94b037ce1692a,Akkermansia muciniphila,239934,22
91,CC11CM1,CP001708.81697.83211,CC11CM1SCR855aa0202cc648a7af47bfc39f0b73d4,Anaerococcus prevotii,525919,2
92,CC11CM1,CP002530.3080993.3082512,CC11CM1SCR6c3863d42cdc4252a89a206df0b7ccb6,Bacteroides salanitronis,667015,3512
93,CC11CM1,CP002544.2203321.2204832,CC11CM1SCRce1eb161e27a441981953aef52ae0e10,Odoribacter splanchnicus,709991,665
94,CC11CM1,CP003040.25465.26999,CC11CM1SCRefa92becc02c4827b81b2eda8632c396,Roseburia hominis,841,151
95,CC11CM1,DQ003614.1.1445,CC11CM1SCRe7adbb7f819a47be90f4c283c8a6b880,Mycoplasmataceae genomosp,2147,7
96,CC11CM1,EU075053.1.1329,CC11CM1SCR4b703edea70840e497df3953932b0042,Streptococcus minor,229549,737
97,CC11CM1,EU096495.1.1449,CC11CM1SCRc7003a64b0ea419585edff90948387ff,Veillonella magna,464322,65
98,CC11CM1,EU136689.1.2064,CC11CM1SCR46e0fd03934b4bd68190917d423875aa,Bacteroides pyogenes,310300,720
99,CC11CM1,EU874848.1.1460,CC11CM1SCR8eb918a00c05432c81dc3dd84097e554,Flavonifractor plautii,292800,18
100,CC11CM1,FN178462.1.1434,CC11CM1SCRc51681f4bfe6420baf3c7e40b1141fe0,Olsenella umbonata,604330,236
101,CC11CM1,HF679039.1.1450,CC11CM1SCR114e00795836412f9f5722fe7887d41c,Lactobacillus nenjiangensis,1296540,13
102,CC11CM1,HQ457032.1.1405,CC11CM1SCRe7422a8352b840748f0974ffaf8d283e,Faecalibacterium prausnitzii,853,1343
103,CC11CM1,HW161114.148.1610,CC11CM1SCR39d7948778e7491db58c119ccfe3916d,Phascolarctobacterium succinatutens,626939,874
104,CC11CM1,JF750939.1.1409,CC11CM1SCRffd69acfd0b742eb99e6884d2dc1d756,Oscillibacter ruminantium,1007096,380
105,CC11CM1,JTBE01000011.599155.600708,CC11CM1SCR82bb4d0de13f4950bbcd304ce441ebeb,Escherichia coli,562,243
106,CC11CM1,KC311367.1.1475,CC11CM1SCR764c8b9b377c404da37dd4a095bcfce0,Intestinimonas butyriciproducens,1297617,4
107,CC11CM1,KF574955.1.1460,CC11CM1SCRf9d2836ada6c43f7947eff17eb3e9859,Abiotrophia defectiva,46125,135
108,CC11CM1,LC010692.1.1492,CC11CM1SCR04cf6bbe8c964749a2136a14a80dcf13,Blautia luti,89014,593
109,CC11CM1,NR_024661.1,CC11CM1SCR22a417f6ffe34593bdd4ed24693aaf50,Eubacterium ruminantium,42322,2342
110,CC11CM1,NR_025600.1,CC11CM1SCR69f2230f5b3843728ffc5a7fa18d59b3,Sutterella stercoricanis,234908,1218
111,CC11CM1,NR_025670.1,CC11CM1SCR50c88b9e04a244b5a5bb63bf3ffca881,Pseudoflavonifractor capillosus ATCC 29799,411467,18
112,CC11CM1,NR_027592.1,CC11CM1SCR9603e8cc2e94470ebbd8b106549c0942,[Clostridium] spiroforme,29348,72
113,CC11CM1,NR_028915.1,CC11CM1SCR241f9de5a38c4bf9a448e53ad627b864,Anaerostipes caccae,105841,454
114,CC11CM1,NR_029160.1,CC11CM1SCR43aaf10c137d4dcdbdddf5b34adfb642,Ruminococcus callidus,40519,612
115,CC11CM1,NR_041278.1,CC11CM1SCR5af7bfb6d5be45abb96bfd895e9f1581,Bacteroides coprocola DSM 17136,470145,1191
116,CC11CM1,NR_041690.1,CC11CM1SCRe32b254a6a184f0b95d1efb661a86ce8,Butyricimonas synergistica,544644,68
117,CC11CM1,NR_042405.1,CC11CM1SCR83dfc71a4a7b4565abeb94ec4c05ea1b,Enterococcus silesiacus,332949,7
118,CC11CM1,NR_043318.1,CC11CM1SCR27cbae48d77648bab96c79afaa6afd27,Alistipes onderdonkii,328813,548
119,CC11CM1,NR_074634.1,CC11CM1SCR2b6e9b501c2f4a6cb71a9a24113720b0,Agathobacter rectalis ATCC 33656,515619,6
120,CC11CM1,NR_102893.1,CC11CM1SCR90923b33ab104e32b82ccccf583a98da,Butyrivibrio proteoclasticus,43305,76
121,CC11CM1,NR_104687.1,CC11CM1SCR1cac7827da7f45e28ca146a481e5b7df,Blautia hansenii DSM 20583,537007,474
122,CC11CM1,NR_104737.1,CC11CM1SCRca64f23ef739456fa2a046d9d885fe4d,Eubacterium oxidoreducens,1732,821
123,CC11CM1,NR_104846.1,CC11CM1SCR166fc560ffd24c5cbab47f099b1260e4,Gemmiger formicilis,745368,2584
124,CC11CM1,NR_112941.1,CC11CM1SCR8a4e3476a5464317babc79572004d63a,Bacteroides propionicifaciens,392838,2122
125,CC11CM1,NR_113111.1,CC11CM1SCR6103f8a77fbf403d9e28e4b02962f5c8,Prevotella marshii,189722,761
126,CC11CM1,NR_113323.1,CC11CM1SCRa05162b0e9d64983a6703d7315765467,[Clostridium] bifermentans,1490,14
127,CC11CM1,NR_113382.1,CC11CM1SCRa0a5864099f644778ebc3b993e7e2d69,Peptoniphilus asaccharolyticus,1258,6
128,CC11CM1,U80198.1.1458,CC11CM1SCR91103a12acd44eda8fed0d6d48d48a69,Pectobacterium betavasculorum,55207,36
129,CC11CM10,AB036761.1.1431,CC11CM10SCRada063d344774975a9100ecc7dca3eb5,Pseudoramibacter alactolyticus,113287,5
130,CC11CM10,AB212809.1.1543,CC11CM10SCRf57ecb1ef53046ed9f7e99b07566b3db,Streptococcus orisuis,282078,762
131,CC11CM10,AB253730.1.1456,CC11CM10SCRbcdb6959fb254056a0a26b88399ec830,Bacteroides barnesiae,376804,598
132,CC11CM10,AB253733.1.1458,CC11CM10SCR1cc217e1ea9e479698c7df41f7047748,Bacteroides gallinarum,376806,1252
133,CC11CM10,AB510699.1.1490,CC11CM10SCR8c614f5c167a446c8d5ef8088636d44c,Bacteroides coprosuis,151276,871
134,CC11CM10,AB547640.1.1475,CC11CM10SCR839c0e1483ec49ec865b97ccf75666db,Bacteroides faecis,674529,668
135,CC11CM10,AB547645.1.1493,CC11CM10SCR3dd2e97abf4641e596b4c9fcdce6efc4,Bacteroides paurosaccharolyticus,732242,3691
136,CC11CM10,AB649276.1.1495,CC11CM10SCR3b182e8b680541c8a65b18c15a7809be,[Clostridium] propionicum,1506577,311
137,CC11CM10,AB671763.1.1497,CC11CM10SCR3efc4d236d9b4dfbb4c42b10202a7d6b,Catabacter hongkongensis,270498,5
138,CC11CM10,AB793710.1.1451,CC11CM10SCR6572bd7092a44c35a36547d08634e597,Anaerobacterium chartisolvens,1297424,41
139,CC11CM10,AB971812.1.1488,CC11CM10SCR58ce8f42cfb44b8ea91109c41005c552,Peptoniphilus lacrimalis,33031,4
140,CC11CM10,ABFK02000016.619821.621335,CC11CM10SCR529b95cef3ff41c8afc879e776eaec69,Alistipes putredinis,445970,1161
141,CC11CM10,ABIK02000003.44069.45469,CC11CM10SCRb5dcb6f440a74551bfb86d40e8a958da,Erysipelatoclostridium,1505663,17
142,CC11CM10,ACDD01000078.43.1394,CC11CM10SCR6f01d8dc06dc4fbfb03ebbdf2534964a,Fusobacterium gonidiaformans,848,660
143,CC11CM10,ACIJ02000018.407302.408819,CC11CM10SCR35929998c54c4647b13cc5702c9ef55f,Prevotella tannerae,626522,52
