,rank,tax_id,tax_name,colind,CC11CM15,CC11CM49,CC11CM87,CC11CM64,CC11CM85,CC11CM97,CC11CM80,CC11CM24,CC11CM41,CC11CM67,CC11CM6,CC11CM90,CC11CM18,CC11CM4,CC11CM13,CC11CM14,CC11CM51,CC11CM65,CC11CM74,CC11CM45,CC11CM50,CC11CM34,CC11CM84,CC11CM27,CC11CM78,CC11CM32,CC11CM81,CC11CM20,CC11CM75,CC11CM12,CC11CM28,CC11CM30,CC11CM68,CC11CM66,CC11CM58,CC11CM61,CC11CM22,CC11CM95,CC11CM17,CC11CM70,CC11CM86,CC11CM88,CC11CM54,CC11CM60,CC11CM16,CC11CM48,CC11CM35,CC11CM91,CC11CM1,CC11CM99,CC11CM72,CC11CM79,CC11CM94,CC11CM82,CC11CM93,CC11CM39,CC11CM42,CC11CM0,CC11CM76,CC11CM69,CC11CM2,CC11CM57,CC11CM63,CC11CM62,CC11CM44,CC11CM37,CC11CM33,CC11CM53,CC11CM9,CC11CM23,CC11CM55,CC11CM59,CC11CM73,CC11CM38,CC11CM25,CC11CM46,CC11CM5,CC11CM83,CC11CM11,CC11CM36,CC11CM26,CC11CM43,CC11CM8,CC11CM19,CC11CM3,CC11CM98,CC11CM77,CC11CM89,CC11CM10,CC11CM71,CC11CM21,CC11CM92,CC11CM29,CC11CM56,CC11CM52,CC11CM96,CC11CM47,CC11CM31,CC11CM40,CC11CM7
0,genus,816,Bacteroides,AB050110.1.1425,718.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,genus,816,Bacteroides,AB260025.1.1492,812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,genus,1678,Bifidobacterium,AB437350.1.1505,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,genus,574697,Butyricimonas,AB443948.1.1484,52.0,,,,,,,,,,174.0,,,,,,,,,,,,,40.0,,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,63.0,,,,,,,,,,,,,,,,42.0
4,genus,572511,Blautia,AB600998.1.1493,488.0,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,678.0,,,479.0,1143.0,,,,,,,,,,,,,2367.0,,,2464.0,,,,,,,,,,,,1015.0,,,,,,,,,,,,1997.0,,,851.0,,,,,,,,,,860.0,,,,,,,,608.0,,,,,,
5,genus,29465,Veillonella,AB679109.1.1520,42.0,,,,,,,,,,66.0,,,,,,,,,509.0,,,,,,,,,224.0,,,,,,,,,,,,117.0,,,,,144.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,genus,165779,Anaerococcus,AB691575.1.1488,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,family,186803,Lachnospiraceae,AB698912.1.1514,239.0,,50.0,530.0,100.0,,,242.0,,,,,,261.0,,,640.0,,373.0,,,,,,,37.0,,265.0,,148.0,,,108.0,,,,121.0,,,,400.0,80.0,232.0,,,,4.0,,,456.0,,,,225.0,,307.0,33.0,,,92.0,,,,,262.0,,,,172.0,,,,,90.0,,426.0,,,,,,,,165.0,,108.0,,13.0,,,,264.0,,,,,,,96.0,446.0
8,genus,1486725,Anaerobacterium,AB793710.1.1451,45.0,,,47.0,,,,10.0,,,,28.0,59.0,,,39.0,,37.0,,,83.0,,,74.0,88.0,22.0,51.0,,28.0,9.0,3.0,66.0,,,,,63.0,,45.0,,145.0,56.0,,,5.0,76.0,116.0,81.0,75.0,49.0,36.0,49.0,,83.0,73.0,40.0,94.0,46.0,,16.0,239.0,140.0,36.0,26.0,73.0,,73.0,,20.0,54.0,,19.0,,64.0,37.0,96.0,,71.0,50.0,44.0,,,18.0,15.0,16.0,,,114.0,41.0,30.0,,,,,19.0,,2.0,,,
9,family,186803,Lachnospiraceae,ACBZ01000217.267.1788,2031.0,,,,,,39.0,,,,,,,,,,,905.0,,,,,,,1208.0,,,,,,,2485.0,,,,,,,,,,,,,,456.0,,1788.0,,,,,,,,,950.0,,,3084.0,,,,,2455.0,,,,,,,,,661.0,3075.0,,3094.0,24.0,886.0,1103.0,,167.0,1046.0,,,689.0,,,,,513.0,1261.0,,2814.0,,,,,2572.0,
10,genus,816,Bacteroides,ACCH01000108.3638.5148,1345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.0,,,,,,,,,,
11,species,1304,Streptococcus salivarius,AEKO01000006.2733.4272,1710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,genus,724,Haemophilus,AFBC01000053.114.1641,433.0,,,,2887.0,,,,,,,,,,,1523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3956.0,,,,,,,,,,,,,,1258.0,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,,,,,,,,,
13,genus,946234,Flavonifractor,AGCK01000014.389.1908,2.0,,,,,,,71.0,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,family,186803,Lachnospiraceae,AGEL01000006.617172.618690,118.0,,,,173.0,,,,178.0,,,,,,,,,22.0,,,,,,,,,,,121.0,,,,,,,,,,,,,53.0,,,,85.0,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,60.0,77.0,,,,,175.0,,,,,,,,105.0,,,,,,,,,186.0
